table_name,field_name,field_type
"address_list","street_code","integer(32,0)"
"address_list","street_description","text"
"address_list","created_at","timestamp with time zone"
"address_list","updated_at","timestamp with time zone"
"asset_type_fields","id","uuid"
"asset_type_fields","field_name","text"
"asset_type_fields","is_asset_level","boolean"
"asset_type_fields","is_building_level","boolean"
"asset_type_fields","is_asset_type_validation","boolean"
"asset_type_fields","created_at","timestamp with time zone"
"asset_type_fields","updated_at","timestamp with time zone"
"asset_types","id","integer(32,0)"
"asset_types","name","text"
"asset_types","description","text"
"asset_types","tax_region","integer(32,0)"
"asset_types","elevator","text"
"asset_types","single_double_family","text"
"asset_types","penthouse","text"
"asset_types","condo","text"
"asset_types","townhouses","text"
"asset_types","business_residence","text"
"asset_types","shared_area_usage","text"
"asset_types","min_size","numeric"
"asset_types","max_size","numeric"
"asset_types","active","text"
"asset_types","created_at","timestamp with time zone"
"asset_types","updated_at","timestamp with time zone"
"asset_types","area_description_for_tab","text"
"asset_types","non_accountable_for_total_area","boolean"
"asset_types","non_accountable_for_distribution","boolean"
"assets","building_number","bigint(64,0)"
"assets","payer_id","text"
"assets","asset_id","bigint(64,0)"
"assets","measurement_date","text"
"assets","main_asset_type","text"
"assets","asset_size","numeric"
"assets","sub_asset_type_1","text"
"assets","sub_asset_size_1","numeric"
"assets","sub_asset_type_2","text"
"assets","sub_asset_size_2","numeric"
"assets","sub_asset_type_3","text"
"assets","sub_asset_size_3","numeric"
"assets","sub_asset_type_4","text"
"assets","sub_asset_size_4","numeric"
"assets","sub_asset_type_5","text"
"assets","sub_asset_size_5","numeric"
"assets","sub_asset_type_6","text"
"assets","sub_asset_size_6","numeric"
"assets","structure_drawing_url","text"
"assets","created_at","timestamp with time zone"
"assets","updated_at","timestamp with time zone"
"assets","elevator","text"
"assets","single_double_family","text"
"assets","condo","text"
"assets","townhouses","text"
"assets","penthouse","text"
"assets","tax_region","integer(32,0)"
"assets","floor","smallint(16,0)"
"assets","discount_type","text"
"assets","discount_date_from","text"
"assets","discount_date_to","text"
"assets","is_new_measurement","boolean"
"assets","action_id","bigint(64,0)"
"assets","business_distribution_area","numeric"
"assets","exported_to_automation","boolean"
"assets_history","id","bigint(64,0)"
"assets_history","building_number","bigint(64,0)"
"assets_history","payer_id","text"
"assets_history","asset_id","bigint(64,0)"
"assets_history","measurement_date","text"
"assets_history","main_asset_type","text"
"assets_history","asset_size","numeric"
"assets_history","sub_asset_type_1","text"
"assets_history","sub_asset_size_1","numeric"
"assets_history","sub_asset_type_2","text"
"assets_history","sub_asset_size_2","numeric"
"assets_history","sub_asset_type_3","text"
"assets_history","sub_asset_size_3","numeric"
"assets_history","sub_asset_type_4","text"
"assets_history","sub_asset_size_4","numeric"
"assets_history","sub_asset_type_5","text"
"assets_history","sub_asset_size_5","numeric"
"assets_history","sub_asset_type_6","text"
"assets_history","sub_asset_size_6","numeric"
"assets_history","structure_drawing_url","text"
"assets_history","created_at","timestamp with time zone"
"assets_history","updated_at","timestamp with time zone"
"assets_history","elevator","text"
"assets_history","single_double_family","text"
"assets_history","condo","text"
"assets_history","townhouses","text"
"assets_history","penthouse","text"
"assets_history","history_created_at","timestamp with time zone"
"assets_history","tax_region","integer(32,0)"
"assets_history","floor","smallint(16,0)"
"assets_history","discount_type","text"
"assets_history","discount_date_from","text"
"assets_history","discount_date_to","text"
"assets_history","action_id","bigint(64,0)"
"assets_history","business_distribution_area","numeric"
"assets_history","exported_to_automation","boolean"
"audit","action_id","bigint(64,0)"
"audit","user_id","bigint(64,0)"
"audit","action_type","USER-DEFINED"
"audit","entity_type","text"
"audit","entity_id","text"
"audit","before_data","jsonb"
"audit","after_data","jsonb"
"audit","description","text"
"audit","created_at","timestamp with time zone"
"buildings","building_number","bigint(64,0)"
"buildings","total_building_area","numeric(10,2)"
"buildings","tax_region","text"
"buildings","elevator","text"
"buildings","single_double_family","text"
"buildings","condo","text"
"buildings","townhouses","text"
"buildings","residence_shared_area","numeric(10,2)"
"buildings","business_shared_area","numeric(10,2)"
"buildings","area_for_control","numeric"
"buildings","building_address","integer(32,0)"
"buildings","gosh","bigint(64,0)"
"buildings","helka","bigint(64,0)"
"buildings","building_number_in_street","bigint(64,0)"
"buildings","overload_ratio","numeric(5,2)"
"buildings","created_at","timestamp with time zone"
"buildings","action_id","bigint(64,0)"
"buildings","residence_shared_area_distributed","boolean"
